timestamp, source,"url","data"
1646914692.684131, Browser, TLS,"www.seznam.cz/","{'frameId': 0, 'method': 'GET', 'parentFrameId': -1, 'requestId': '504', 'tabId': 31, 'timeStamp': 1646914692684.1309, 'type': 'main_frame', 'url': 'https://www.seznam.cz/'}"
1646914693.19662, Browser, TLS,"www.seznam.cz/sync-cookies?c=tyegJpqKiiD6pCuIFC6a3w%3D%3D%3Azhq4neLIkdBiOUkAxBz7ew%3D%3D","{'frameId': 0, 'initiator': 'https://www.seznam.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '505', 'tabId': 31, 'timeStamp': 1646914693196.6199, 'type': 'script', 'url': 'https://www.seznam.cz/sync-cookies?c=tyegJpqKiiD6pCuIFC6a3w%3D%3D%3Azhq4neLIkdBiOUkAxBz7ew%3D%3D'}"
1646914693.196909, Browser, TLS,"d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo-white_v2.svg","{'frameId': 0, 'initiator': 'https://www.seznam.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '506', 'tabId': 31, 'timeStamp': 1646914693196.909, 'type': 'image', 'url': 'https://d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo-white_v2.svg'}"
1646914693.199324, Browser, TLS,"d32-a.sdn.cz/d_32/c_static_gW_O/u1i8/2.0.650/css/homepage.min.css","{'frameId': 0, 'initiator': 'https://www.seznam.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '507', 'tabId': 31, 'timeStamp': 1646914693199.324, 'type': 'stylesheet', 'url': 'https://d32-a.sdn.cz/d_32/c_static_gW_O/u1i8/2.0.650/css/homepage.min.css'}"
1646914693.22117, Browser, TLS,"d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo-white_v2.svg","{'frameId': 0, 'fromCache': False, 'initiator': 'https://www.seznam.cz', 'ip': '77.75.74.139', 'method': 'GET', 'parentFrameId': -1, 'requestId': '506', 'statusCode': 200, 'statusLine': 'HTTP/1.1 200', 'tabId': 31, 'timeStamp': 1646914693221.17, 'type': 'image', 'url': 'https://d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo-white_v2.svg'}"
1646914693.248774, Browser, TLS,"www.seznam.cz/","{'frameId': 0, 'fromCache': False, 'ip': '77.75.75.172', 'method': 'GET', 'parentFrameId': -1, 'requestId': '504', 'statusCode': 200, 'statusLine': 'HTTP/1.1 200', 'tabId': 31, 'timeStamp': 1646914693248.7742, 'type': 'main_frame', 'url': 'https://www.seznam.cz/'}"
1646914693.248978, Browser, TLS,"www.seznam.cz/sync-cookies?c=tyegJpqKiiD6pCuIFC6a3w%3D%3D%3Azhq4neLIkdBiOUkAxBz7ew%3D%3D","{'frameId': 0, 'fromCache': False, 'initiator': 'https://www.seznam.cz', 'ip': '77.75.75.172', 'method': 'GET', 'parentFrameId': -1, 'requestId': '505', 'statusCode': 200, 'statusLine': 'HTTP/1.1 200', 'tabId': 31, 'timeStamp': 1646914693248.9778, 'type': 'script', 'url': 'https://www.seznam.cz/sync-cookies?c=tyegJpqKiiD6pCuIFC6a3w%3D%3D%3Azhq4neLIkdBiOUkAxBz7ew%3D%3D'}"
1646914693.249424, Browser, TLS,"d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo_v2.svg","{'frameId': 0, 'initiator': 'https://www.seznam.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '508', 'tabId': 31, 'timeStamp': 1646914693249.424, 'type': 'image', 'url': 'https://d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo_v2.svg'}"
1646914693.269642, Browser, TLS,"d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo_v2.svg","{'frameId': 0, 'fromCache': False, 'initiator': 'https://www.seznam.cz', 'ip': '77.75.74.139', 'method': 'GET', 'parentFrameId': -1, 'requestId': '508', 'statusCode': 200, 'statusLine': 'HTTP/1.1 200', 'tabId': 31, 'timeStamp': 1646914693269.642, 'type': 'image', 'url': 'https://d32-a.sdn.cz/d_32/c_static_QO_P/sEOoI/media/img/logo_v2.svg'}"
1646914693.27028, Browser, TLS,"d32-a.sdn.cz/d_32/c_img_QN_CN/G5AEBj.png","{'frameId': 0, 'initiator': 'https://www.seznam.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '509', 'tabId': 31, 'timeStamp': 1646914693270.2798, 'type': 'image', 'url': 'https://d32-a.sdn.cz/d_32/c_img_QN_CN/G5AEBj.png'}"
