timestamp, source,"url","data"
1646701832.245544, Browser, TLS,"www.vut.cz/spoluprace","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12870', 'tabId': 178, 'timeStamp': 1646701832245.544, 'type': 'main_frame', 'url': 'https://www.vut.cz/spoluprace'}"
1646701832.6356, Browser, TLS,"www.vut.cz/i/css/portal2018.css?ver=30","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12871', 'tabId': 178, 'timeStamp': 1646701832635.6, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/css/portal2018.css?ver=30'}"
1646701832.635731, Browser, TLS,"www.vut.cz/i/www_base/js/vutbox/vutbox.css?v=8","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12872', 'tabId': 178, 'timeStamp': 1646701832635.731, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/js/vutbox/vutbox.css?v=8'}"
1646701832.635831, Browser, TLS,"www.vut.cz/i/www_base/css/icomoon/style.css?ver=24","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12873', 'tabId': 178, 'timeStamp': 1646701832635.831, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/css/icomoon/style.css?ver=24'}"
1646701832.637615, Browser, TLS,"www.vut.cz/i/css/portal2018_vutpath.css?ver=23","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12874', 'tabId': 178, 'timeStamp': 1646701832637.615, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/css/portal2018_vutpath.css?ver=23'}"
1646701832.638218, Browser, TLS,"www.vut.cz/i/www_base/lib_www/jquery/external/fancybox/jquery.fancybox.css","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12875', 'tabId': 178, 'timeStamp': 1646701832638.218, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/lib_www/jquery/external/fancybox/jquery.fancybox.css'}"
1646701832.638423, Browser, TLS,"www.vut.cz/i/www_base/lib_www/vut-lib/VutAjax/vut.ajax.css?v=7","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12876', 'tabId': 178, 'timeStamp': 1646701832638.4229, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/www_base/lib_www/vut-lib/VutAjax/vut.ajax.css?v=7'}"
1646701832.638567, Browser, TLS,"www.vut.cz/i/www_base/js/vut.resize.js?v=1","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12877', 'tabId': 178, 'timeStamp': 1646701832638.567, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/js/vut.resize.js?v=1'}"
1646701832.638668, Browser, TLS,"www.vut.cz/i/www_base/js/vutbox/vutbox.pack.js?v=10","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12878', 'tabId': 178, 'timeStamp': 1646701832638.668, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/js/vutbox/vutbox.pack.js?v=10'}"
1646701832.638793, Browser, TLS,"www.vut.cz/i/www_base/lib_www/vut-lib/lib.shim.pack.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '12879', 'tabId': 178, 'timeStamp': 1646701832638.793, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/lib_www/vut-lib/lib.shim.pack.js'}"
