timestamp, source,"url","data"
1646913966.2324271, Browser, TLS,"www.vut.cz/i/www_base/lib_www/jquery/jquery-migrate-1.2.1.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '395', 'tabId': 31, 'timeStamp': 1646913966232.427, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/lib_www/jquery/jquery-migrate-1.2.1.js'}"
1646913966.232482, Browser, TLS,"www.vut.cz/i/www_base/js/form.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '396', 'tabId': 31, 'timeStamp': 1646913966232.482, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/js/form.js'}"
1646913966.232547, Browser, TLS,"www.vut.cz/i/www_base/js/combobox/combobox.pack.js?v=15","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '397', 'tabId': 31, 'timeStamp': 1646913966232.547, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/js/combobox/combobox.pack.js?v=15'}"
1646913966.232607, Browser, TLS,"www.vut.cz/i/www_base/lib_www/jquery/external/fancybox/jquery.fancybox.pack.js?v=2","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '398', 'tabId': 31, 'timeStamp': 1646913966232.607, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/lib_www/jquery/external/fancybox/jquery.fancybox.pack.js?v=2'}"
1646913966.232662, Browser, TLS,"www.vut.cz/i/www_base/lib_www/ed/console.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '399', 'tabId': 31, 'timeStamp': 1646913966232.6619, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/lib_www/ed/console.js'}"
1646913966.232734, Browser, TLS,"www.vut.cz/i/www_base/lib_www/vut-lib/VutAjax/vut.ajax.pack.js?v=28","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '400', 'tabId': 31, 'timeStamp': 1646913966232.734, 'type': 'script', 'url': 'https://www.vut.cz/i/www_base/lib_www/vut-lib/VutAjax/vut.ajax.pack.js?v=28'}"
1646913966.232791, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/js/modernizr.min.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '401', 'tabId': 31, 'timeStamp': 1646913966232.791, 'type': 'script', 'url': 'https://www.vut.cz/i/images/layout_portal2018/js/modernizr.min.js'}"
1646913966.232864, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/js/cookies.js","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '402', 'tabId': 31, 'timeStamp': 1646913966232.864, 'type': 'script', 'url': 'https://www.vut.cz/i/images/layout_portal2018/js/cookies.js'}"
1646913966.246894, Browser, TLS,"www.googletagmanager.com/gtm.js?id=GTM-WCCFFS","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '403', 'tabId': 31, 'timeStamp': 1646913966246.8938, 'type': 'script', 'url': 'https://www.googletagmanager.com/gtm.js?id=GTM-WCCFFS'}"
1646913966.249552, Browser, TLS,"www.vut.cz/i/css/print.css","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '404', 'tabId': 31, 'timeStamp': 1646913966249.552, 'type': 'stylesheet', 'url': 'https://www.vut.cz/i/css/print.css'}"
